perturbation_id,target_gene,age_UP_enrichment,age_DOWN_enrichment,mimetic_score,is_ARE_gene,is_age_UP,is_age_DOWN
7061_RAD1_P1P2_ENSG00000113456,RAD1,0.05077965279818201,-0.17473766018961195,0.22551731298779396,False,False,False
7280_RHAG_P1P2_ENSG00000112077,RHAG,0.12702926497510744,-0.09828173444020616,0.2253109994153136,False,False,False
2620_EME1_P1P2_ENSG00000154920,EME1,0.09839302555420175,-0.12691783312879779,0.22531085868299955,False,False,False
8004_SLC25A39_P2_ENSG00000013306,SLC25A39,0.14320996278953177,-0.08198420065861027,0.22519416344814203,False,True,False
411_APOBEC3C_P1P2_ENSG00000244509,APOBEC3C,0.08690935316247891,-0.13825669196930473,0.22516604513178365,False,False,False
7357_RNF14_P1P2_ENSG00000013561,RNF14,0.12509374531273434,-0.0996102474853738,0.22470399279810815,False,False,False
25_ABCB9_P2_ENSG00000150967,ABCB9,0.15191980127021043,-0.07276099884253309,0.22468080011274352,False,False,False
3490_GPATCH2_P1P2_ENSG00000092978,GPATCH2,0.06559398057494381,-0.1587556482562437,0.2243496288311875,False,False,False
671_ATP6AP2_P1P2_ENSG00000182220,ATP6AP2,0.07972409598698148,-0.14430142632481818,0.22402552231179967,False,False,False
4278_KAT6B_P1P2_ENSG00000156650,KAT6B,0.13025307638727654,-0.09338948515137577,0.2236425615386523,False,False,False
